background	greenplant	purpleplant
212,215,215	131,174,80	137,138,85
208,217,210	130,175,77	138,130,93
212,218,209	122,175,72	138,130,104
220,217,211	120,173,75	138,124,110
214,219,201	135,176,80	138,132,113
232,235,227	193,128,75	87,85,59
237,236,222	193,135,74	91,89,58
236,235,221	195,132,74	94,75,54
228,234,222	195,144,72	100,66,59
232,234,228	195,142,77	91,71,65
236,234,228	196,147,79	84,68,61
237,235,224	197,143,85	84,68,51
239,236,224	199,146,91	84,68,51
234,235,223	200,148,86	80,64,52
119,125,129	121,161,61	141,121,106
120,130,124	118,159,62	143,124,105
132,132,115	113,158,58	143,124,108
137,131,116	113,156,60	138,117,111
130,134,120	106,157,57	132,126,116
124,131,114	110,157,58	137,119,116
122,129,108	113,158,58	141,124,108
123,127,117	115,159,61	138,124,110
124,128,118	112,160,60	135,126,113
112,120,102	108,152,76	131,109,104
104,119,109	107,151,79	132,109,108
100,116,105	104,152,80	129,117,105
100,116,101	104,153,73	133,116,100
105,117,102	113,153,68	136,109,98
116,117,106	123,154,71	134,114,102
123,106,108	116,156,67	131,114,101
118,111,109	105,157,64	133,106,101
111,116,110	107,156,69	133,109,104
201,211,200	108,142,93	117,87,90
198,207,191	114,145,93	115,95,89
180,196,184	119,147,96	120,100,91
181,171,159	120,146,101	124,95,82
159,115,103	120,143,100	122,85,80
127,107,97	112,143,91	120,90,84
117,95,72	107,142,91	115,91,94
108,86,76	105,140,96	111,97,95
103,80,83	102,138,91	115,91,94
208,212,197	144,180,120	127,105,104
207,194,171	143,178,120	126,110,105
185,161,144	146,181,114	127,102,107
152,137,138	158,177,121	129,101,104
134,103,97	157,171,128	124,111,103
109,110,104	143,168,114	115,112,104
107,100,93	131,162,104	120,103,102
104,93,91	113,160,92	124,102,99
106,88,86	117,157,92	115,106,104
211,220,211	113,158,68	127,105,104
205,221,202	113,158,69	129,104,99
205,221,192	111,160,68	127,101,94
206,217,191	114,158,71	126,104,95
207,213,192	115,155,74	127,106,93
212,210,194	112,154,75	129,108,89
206,196,205	111,154,69	129,105,86
206,210,206	114,155,64	131,104,95
194,215,204	120,154,72	129,104,106
229,236,220	108,156,80	108,82,94
228,235,222	114,156,83	111,82,94
229,235,226	121,156,88	111,86,89
227,233,227	121,156,91	113,89,83
232,230,230	127,154,97	111,87,77
233,235,229	125,157,93	108,90,85
241,236,233	126,159,102	108,86,93
243,231,229	131,162,111	108,82,94
237,235,229	142,163,115	106,88,91
231,236,227	113,147,94	113,99,98
237,236,230	113,145,102	115,94,94
243,237,230	116,140,102	117,97,88
243,235,229	110,142,92	120,93,88
243,236,233	108,144,89	115,95,89
240,233,233	103,141,88	111,97,92
237,236,231	99,139,92	115,95,89
233,235,230	103,138,94	120,93,84
229,234,231	100,140,94	117,94,84
46,70,52	105,140,96	138,124,110
58,75,69	102,138,91	138,132,113
70,78,81	144,180,120	87,85,59
85,87,86	143,178,120	91,89,58
83,85,89	146,181,114	94,75,54
84,82,79	158,177,121	100,66,59
76,79,72	157,171,128	91,71,65
62,80,67	143,168,114	84,68,61
67,84,66	131,162,104	84,68,51
61,49,52	113,160,92	84,68,51
61,44,53	117,157,92	80,64,52
55,49,41	113,158,68	141,121,106
48,47,34	113,158,69	143,124,105
35,44,37	111,160,68	143,124,108
41,52,44	114,158,71	138,117,111
41,46,44	115,155,74	132,126,116
41,46,44	112,154,75	137,119,116
41,46,44	111,154,69	141,124,108
205,220,219	114,155,64	138,124,110
210,219,210	120,154,72	135,126,113
202,207,208	108,156,80	131,109,104
203,173,169	105,140,96	132,109,108
178,114,108	102,138,91	129,117,105
138,114,112	144,180,120	133,116,100
127,94,92	143,178,120	136,109,98
112,94,88	146,181,114	134,114,102
103,85,78	158,177,121	131,114,101
142,168,181	157,171,128	133,106,101
139,169,179	143,168,114	133,109,104
134,178,179	131,162,104	138,124,110
136,168,180	113,160,92	138,132,113
136,172,181	117,157,92	87,85,59
130,163,182	113,158,68	91,89,58
130,173,181	113,158,69	94,75,54
127,171,179	111,160,68	100,66,59
124,181,178	114,158,71	91,71,65
206,216,212	115,155,74	84,68,61
206,209,213	112,154,75	84,68,51
207,212,214	111,154,69	84,68,51
206,208,214	114,155,64	80,64,52
207,215,214	120,154,72	141,121,106
205,213,215	108,156,80	143,124,105
207,219,217	105,140,96	143,124,108
208,214,217	102,138,91	138,117,111
212,216,219	144,180,120	132,126,116
87,89,83	143,178,120	137,119,116
87,85,73	146,181,114	141,124,108
87,80,78	158,177,121	138,124,110
80,73,87	157,171,128	135,126,113
72,75,79	143,168,114	131,109,104
80,83,70	131,162,104	132,109,108
80,78,71	113,160,92	129,117,105
84,77,75	117,157,92	133,116,100
84,77,75	113,158,68	136,109,98
87,81,74	113,158,69	134,114,102
91,75,69	111,160,68	131,114,101
87,81,64	114,158,71	133,106,101
87,76,60	115,155,74	133,109,104
84,82,55	112,154,75	138,124,110
80,83,65	111,154,69	138,132,113
80,83,70	114,155,64	87,85,59
84,82,65	120,154,72	91,89,58
84,82,55	108,156,80	94,75,54
163,193,184	120,169,71	149,126,103
162,192,187	121,170,73	150,122,105
163,194,181	121,170,73	149,119,106
173,194,189	128,168,79	149,115,104
159,196,178	121,170,73	146,116,103
158,193,184	121,170,72	145,120,97
166,195,184	119,171,74	145,121,91
174,195,186	117,173,73	146,120,99
177,197,186	117,171,75	145,120,110
93,93,72	131,174,73	152,125,103
99,82,71	138,174,77	151,126,102
93,84,68	139,174,79	154,125,97
90,80,74	132,174,80	156,121,99
90,89,73	141,177,86	155,124,99
94,83,77	145,177,90	152,125,100
94,87,81	145,177,96	152,122,101
97,94,79	138,176,92	152,122,101
86,90,78	143,178,89	151,124,98
185,200,195	113,166,69	134,107,89
175,200,190	113,166,69	133,105,98
176,201,185	113,166,69	134,107,99
185,200,193	117,164,71	136,107,95
185,198,197	122,166,70	134,111,89
181,198,197	131,167,76	133,105,94
184,199,198	128,167,80	133,105,94
184,199,199	130,166,86	133,100,91
185,202,199	126,168,85	131,100,85
105,110,116	137,181,70	149,119,107
104,113,108	141,180,75	146,127,114
110,116,90	142,182,75	151,123,116
115,117,103	143,184,73	156,119,113
110,108,111	140,183,69	154,121,111
106,104,111	144,182,72	150,124,111
106,111,110	148,183,72	154,121,106
106,115,105	153,185,73	156,119,104
115,117,99	146,185,71	156,121,101
40,41,45	112,145,81	129,98,97
42,46,51	114,145,74	126,100,95
48,58,51	112,143,66	126,97,88
55,59,52	110,143,80	126,93,89
60,58,58	108,141,92	124,92,87
60,55,48	111,139,93	122,85,84
54,49,42	109,138,91	119,93,76
40,52,38	111,137,82	117,94,84
47,53,45	106,138,69	113,92,91
47,87,143	147,180,64	129,108,98
45,78,146	141,180,58	129,104,103
49,82,138	137,180,60	127,108,103
49,76,127	138,181,60	124,114,106
50,67,118	142,180,60	122,109,104
49,72,103	138,181,60	120,107,106
42,74,108	139,180,62	122,106,101
45,73,112	140,180,64	124,101,104
46,81,116	147,179,67	120,110,105
60,69,51	217,180,96	131,115,111
52,64,39	218,177,95	134,115,114
53,63,50	218,181,96	133,118,110
60,64,57	219,182,98	131,122,103
66,65,63	219,178,96	125,129,113
60,64,63	220,178,93	132,128,120
58,57,67	220,174,94	133,134,114
58,62,66	219,173,94	137,132,107
52,61,65	218,170,96	142,128,105
110,99,71	217,174,98	113,115,101
108,87,72	218,172,94	98,108,102
107,99,71	219,169,92	106,99,103
111,91,76	220,169,93	108,98,105
108,95,80	220,172,89	111,89,109
108,86,81	220,175,84	113,95,103
103,97,77	220,176,88	113,99,98
97,86,85	220,174,92	111,97,100
100,94,84	220,173,89	103,96,100
73,109,144	163,185,97	113,86,71
67,110,147	157,182,98	111,94,75
72,104,152	161,182,97	111,87,84
84,104,153	167,182,100	111,94,80
75,102,149	161,180,99	113,93,77
65,98,150	151,179,102	113,89,78
69,101,153	150,179,103	111,82,84
78,107,151	149,180,99	108,95,79
79,106,148	150,180,97	106,96,81
211,223,213	193,132,75	108,90,80
219,223,218	193,127,72	108,91,71
226,224,215	193,131,65	111,87,76
222,224,209	195,133,67	111,91,76
216,223,210	195,141,67	113,89,78
222,224,214	196,142,68	113,92,82
221,224,210	196,143,71	116,91,85
208,224,202	196,140,71	112,94,88
206,222,209	193,138,70	108,90,84
158,88,64	140,174,98	100,87,52
159,95,58	138,173,94	100,81,57
160,78,59	136,174,88	97,83,62
159,96,55	133,175,84	97,82,66
158,92,64	141,175,83	97,78,72
161,101,67	148,176,90	97,70,68
163,91,69	143,176,92	94,75,63
164,100,69	142,175,89	91,71,65
165,88,70	143,176,85	91,71,65
186,203,186	181,192,90	111,102,74
196,203,188	181,191,94	113,96,77
196,204,186	178,190,96	113,96,77
198,204,186	177,189,96	113,93,77
196,203,190	184,191,97	111,98,79
199,201,188	192,184,96	111,106,74
203,201,184	193,188,91	111,102,70
195,201,185	195,190,94	113,101,73
195,202,190	198,187,94	113,96,73
202,217,202	196,198,75	115,99,68
205,217,205	175,193,83	115,95,73
205,217,206	173,192,93	113,96,73
201,217,202	177,189,96	113,93,70
204,216,206	167,188,94	113,93,66
208,216,211	158,184,89	113,89,71
206,216,208	159,182,89	111,91,76
201,216,206	162,179,99	108,91,68
199,215,208	157,181,102	106,89,60
215,218,207	128,176,71	140,135,109
216,219,207	126,177,72	143,132,104
215,218,211	122,174,74	140,137,102
211,217,215	120,174,74	134,138,99
209,216,216	130,175,77	132,140,94
209,217,208	135,176,80	137,134,102
211,218,204	131,175,79	137,132,105
211,217,206	131,172,82	135,132,110
215,219,205	130,175,77	137,131,112
233,234,228	191,135,75	91,89,58
241,236,228	192,141,77	87,85,59
236,235,228	193,137,78	94,75,59
232,234,227	195,145,77	100,74,63
238,234,233	196,142,77	94,79,68
236,234,228	197,143,78	87,72,65
237,234,228	198,146,82	87,72,60
233,235,224	200,147,83	84,73,60
231,235,222	202,144,84	87,68,61
118,125,126	130,166,60	135,123,104
114,128,121	125,164,58	137,119,106
130,130,120	123,160,60	138,120,108
137,125,119	114,161,57	135,123,111
132,132,126	115,158,57	132,132,115
120,130,117	114,158,54	137,125,116
116,130,109	114,155,64	141,130,108
114,125,114	111,157,66	138,127,105
119,126,116	110,157,63	135,127,103
118,115,105	98,150,71	132,113,109
105,112,111	93,149,71	132,113,109
92,110,108	95,149,74	131,119,103
100,116,105	98,151,70	133,112,97
107,115,109	112,151,72	136,110,102
116,109,111	119,153,73	134,111,106
121,111,109	111,150,76	133,115,103
118,111,113	94,152,68	133,109,98
116,113,106	93,153,67	133,112,100
201,211,197	111,142,96	115,91,90
199,208,189	111,146,85	113,96,95
180,187,193	113,147,94	117,97,92
180,167,169	113,145,102	122,92,87
156,128,109	116,140,102	120,90,81
121,100,110	110,142,92	117,90,85
113,96,73	108,144,89	115,95,89
106,88,82	103,141,88	113,96,91
101,81,89	99,139,92	115,95,86
207,211,200	135,173,125	127,109,96
206,200,169	131,178,128	126,110,102
183,167,140	141,178,140	126,107,106
144,126,143	143,181,131	127,99,101
130,115,101	150,177,138	126,108,95
109,110,104	148,176,123	122,110,96
104,101,95	141,173,106	124,108,96
101,90,93	136,168,99	126,100,99
97,90,84	128,165,82	120,103,102
207,221,207	118,158,82	131,100,103
205,222,201	121,155,86	127,102,97
213,219,203	112,157,76	126,100,95
211,218,201	113,158,73	124,108,96
214,214,201	114,157,72	126,107,98
215,206,202	113,157,70	126,111,98
198,201,203	105,156,65	129,111,92
206,206,205	115,159,61	131,107,95
199,214,207	123,159,68	131,104,99
228,235,220	109,154,86	113,84,87
222,235,219	114,156,86	117,87,85
226,234,226	115,157,84	120,90,81
231,235,231	114,158,86	120,87,77
231,231,232	117,157,89	115,92,78
229,235,227	126,158,97	108,90,85
236,236,232	126,161,97	111,90,88
241,236,232	140,165,102	113,84,87
232,235,226	151,170,103	113,88,87
236,235,231	111,146,91	115,94,97
237,234,233	110,144,95	117,93,96
241,236,232	107,141,95	117,97,96
240,236,228	110,142,89	120,97,92
241,236,233	107,143,87	115,99,89
236,233,233	101,142,84	111,102,88
238,236,231	94,139,88	113,100,82
237,236,227	101,137,95	115,95,86
233,232,232	99,139,92	115,99,89
52,72,42	103,141,88	135,132,110
68,81,68	99,139,92	137,131,112
73,79,87	135,173,125	91,89,58
78,89,87	131,178,128	87,85,59
78,84,88	141,178,140	94,75,59
84,76,80	143,181,131	100,74,63
84,77,65	150,177,138	94,79,68
80,78,71	148,176,123	87,72,65
80,78,75	141,173,106	87,72,60
71,59,58	136,168,99	84,73,60
67,54,53	128,165,82	87,68,61
66,60,47	118,158,82	135,123,104
55,54,35	121,155,86	137,119,106
41,46,44	112,157,76	138,120,108
48,52,51	113,158,73	135,123,111
48,47,52	114,157,72	132,132,115
56,59,52	113,157,70	137,125,116
56,59,52	105,156,65	141,130,108
207,222,215	115,159,61	138,127,105
199,220,201	123,159,68	135,127,103
192,197,206	109,154,86	132,113,109
199,171,173	103,141,88	132,113,109
174,135,105	99,139,92	131,119,103
135,117,114	135,173,125	133,112,97
125,105,92	131,178,128	136,110,102
114,93,87	141,178,140	134,111,106
106,96,77	143,181,131	133,115,103
114,145,153	150,177,138	133,109,98
108,141,153	148,176,123	133,112,100
99,148,151	141,173,106	135,132,110
107,136,156	136,168,99	137,131,112
114,146,157	128,165,82	91,89,58
107,141,158	118,158,82	87,85,59
98,143,156	121,155,86	94,75,59
98,141,156	112,157,76	100,74,63
96,147,155	113,158,73	94,79,68
160,172,205	114,157,72	87,72,65
165,187,203	113,157,70	87,72,60
165,177,203	105,156,65	84,73,60
162,177,205	115,159,61	87,68,61
162,176,206	123,159,68	135,123,104
162,187,207	109,154,86	137,119,106
163,181,210	103,141,88	138,120,108
165,194,209	99,139,92	135,123,111
169,179,212	135,173,125	132,132,115
91,88,82	131,178,128	137,125,116
91,85,73	141,178,140	141,130,108
91,80,78	143,181,131	138,127,105
81,74,83	150,177,138	135,127,103
78,71,80	148,176,123	132,113,109
74,77,75	141,173,106	132,113,109
74,77,75	136,168,99	131,119,103
80,78,75	128,165,82	133,112,97
87,76,69	118,158,82	136,110,102
87,84,82	121,155,86	134,111,106
94,83,77	112,157,76	133,115,103
